Stock,Accumulation/Distribution Value,Stocks_Ranked
MS,189.12,1.0
MA,107.45,2.0
BBY,106.96,3.0
GILD,69.15,4.0
TMUS,65.69,5.0
FANG,55.35,6.0
FITB,49.83,7.0
TWTR,45.04,8.0
XOM,39.57,9.0
DAL,33.96,10.0
EOG,33.82,11.0
JNJ,30.12,12.0
FCX,25.35,13.0
MSFT,24.92,14.0
KMI,23.38,15.0
LVS,22.38,16.0
NEE,21.76,17.0
VLO,21.62,18.0
AMCR,21.55,19.0
RCL,20.78,20.0
PPL,19.89,21.0
AXP,19.81,22.0
CTRA,19.41,23.5
PSX,19.41,23.5
TXN,15.23,25.0
VZ,14.98,26.0
HST,14.97,27.0
MGM,14.94,28.0
MDT,14.81,29.0
BAC,14.78,30.0
USB,14.29,31.0
SBUX,14.12,32.0
GIS,13.71,33.0
KO,13.59,34.0
NEM,13.25,35.0
VIAC,13.08,36.0
MDLZ,13.05,37.0
TFC,12.8,38.0
DIS,12.07,39.0
CSX,11.79,40.0
HPQ,11.2,41.0
GPN,10.58,42.0
MPC,10.17,43.0
RTX,9.61,44.0
MO,8.32,45.0
PYPL,8.19,46.0
CRM,8.16,47.0
PENN,7.95,48.0
GS,7.23,49.0
WBA,7.18,50.0
APA,7.09,51.0
LUMN,6.53,52.0
PBCT,6.52,53.0
CERN,6.35,54.0
FISV,6.15,55.0
MU,6.0,56.0
ZTS,5.61,57.0
RF,4.82,58.0
IP,4.64,59.0
EMR,4.62,60.0
F,4.49,61.0
HAL,4.42,62.0
AMZN,4.14,63.0
CAG,4.13,64.0
TJX,3.74,65.0
FIS,3.6,66.0
GPS,3.14,67.0
TSLA,3.01,68.0
GLW,2.9,69.0
OXY,2.87,70.0
CVX,2.59,71.0
ADBE,2.19,72.0
FB,2.0,73.0
PLD,1.93,74.0
ATVI,1.48,75.0
DHI,1.4,76.0
UAA,1.32,77.0
MRNA,1.31,78.0
WMB,0.95,79.0
AMAT,0.82,80.0
KHC,0.81,81.0
DISCK,0.79,82.0
NKE,0.72,83.0
HBAN,0.53,84.0
C,0.48,85.0
DVN,0.3,86.0
BKR,0.16,87.0
SLB,0.14,88.0
COP,-0.04,89.0
INTC,-0.16,90.0
SYF,-0.3,91.0
PG,-0.31,92.0
SCHW,-0.39,93.0
EXC,-0.41,94.0
ABBV,-0.45,95.0
NVDA,-0.53,96.0
CNP,-0.73,97.0
WFC,-0.75,98.0
AAL,-0.76,99.0
ABT,-0.86,100.0
HPE,-1.01,101.0
IBM,-1.09,102.0
CARR,-1.18,103.0
GM,-1.19,104.0
MRO,-1.2,105.0
CMCSA,-1.21,106.0
AAPL,-1.22,107.5
KR,-1.22,107.5
CAT,-1.23,109.0
GE,-1.24,110.0
DOW,-1.59,111.0
PFE,-1.94,112.0
CVS,-2.06,113.0
JPM,-2.14,114.0
CFG,-2.49,115.0
BK,-2.56,116.0
QCOM,-2.69,117.0
DISCA,-2.71,118.0
AMD,-2.72,119.0
V,-2.99,120.0
MET,-3.19,121.0
NFLX,-3.62,122.0
AFL,-3.65,123.0
BA,-4.06,124.0
MOS,-4.44,125.0
VTRS,-4.48,126.0
DHR,-4.59,127.0
EBAY,-4.74,128.0
T,-4.79,129.5
AIG,-4.79,129.5
IVZ,-5.23,131.0
SO,-5.32,132.0
MRK,-5.44,133.0
CCL,-6.37,134.0
BMY,-6.4,135.0
KEY,-6.69,136.0
ETSY,-7.35,137.0
LUV,-7.85,138.0
WMT,-8.25,139.0
PM,-8.57,140.0
XEL,-9.86,141.0
BSX,-10.55,142.0
UAL,-11.39,143.0
ORCL,-17.59,144.0
CSCO,-18.11,145.0
NCLH,-52.0,146.0
